"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify DELETE /api/v1/Authors/{id} with negative ID should return 404","585","Verify deleting author with negative ID","Bookstore API Test Suite","Sun Oct 26 17:45:53 UTC 2025","failed","Sun Oct 26 17:45:53 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_NegativeId"
"Test to verify GET /api/v1/Authors responds within acceptable time","796","Verify response time for getting all authors","Bookstore API Test Suite","Sun Oct 26 17:45:53 UTC 2025","passed","Sun Oct 26 17:45:54 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAllAuthors_ResponseTime"
"Test to verify GET /api/v1/Books/{id} with non-existent ID returns 404","899","Verify handling of non-existent book ID","Bookstore API Test Suite","Sun Oct 26 17:45:25 UTC 2025","passed","Sun Oct 26 17:45:26 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NonExistentId"
"Test to verify POST /api/v1/Authors with null first name (field omitted from JSON) should return 400","643","Verify creating author with null first name","Bookstore API Test Suite","Sun Oct 26 17:45:54 UTC 2025","failed","Sun Oct 26 17:45:55 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullFirstName"
"Test to verify PUT /api/v1/Authors/{id} when path ID doesn't match body ID should return 400","597","Verify updating author with mismatched ID","Bookstore API Test Suite","Sun Oct 26 17:45:51 UTC 2025","failed","Sun Oct 26 17:45:52 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_MismatchedId"
"Test boundary condition with very long last name (500 characters)","593","Verify creating author with very long last name","Bookstore API Test Suite","Sun Oct 26 17:45:50 UTC 2025","passed","Sun Oct 26 17:45:50 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_VeryLongLastName"
"Test to verify POST /api/v1/Authors with null last name should return 400","611","Verify creating author with null last name","Bookstore API Test Suite","Sun Oct 26 17:45:48 UTC 2025","failed","Sun Oct 26 17:45:48 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullLastName"
"Test to verify DELETE /api/v1/Books/{id} with non-existent ID should return 404","609","Verify deleting non-existent book","Bookstore API Test Suite","Sun Oct 26 17:45:37 UTC 2025","failed","Sun Oct 26 17:45:37 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NonExistentId"
"Test to verify POST /api/v1/Authors creates a new author and returns 200 status","650","Verify that a new author can be created successfully","Bookstore API Test Suite","Sun Oct 26 17:45:41 UTC 2025","passed","Sun Oct 26 17:45:42 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ValidData_Success"
"Test to verify POST /api/v1/Authors with empty string last name should return 400","626","Verify creating author with empty string last name","Bookstore API Test Suite","Sun Oct 26 17:45:55 UTC 2025","failed","Sun Oct 26 17:45:55 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyStringLastName"
"Test to verify GET /api/v1/Authors/{id} with ID = 0 returns 404","629","Verify handling of zero as author ID","Bookstore API Test Suite","Sun Oct 26 17:45:46 UTC 2025","passed","Sun Oct 26 17:45:47 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_ZeroId"
"Test to verify GET /api/v1/Books/{id} with ID = 0","670","Verify handling of zero as book ID","Bookstore API Test Suite","Sun Oct 26 17:45:26 UTC 2025","passed","Sun Oct 26 17:45:27 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ZeroId"
"Test to verify GET /api/v1/Books returns list of books with 200 status code","2879","Verify that all books can be retrieved successfully","Bookstore API Test Suite","Sun Oct 26 17:45:16 UTC 2025","passed","Sun Oct 26 17:45:19 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_Success"
"Test to verify DELETE /api/v1/Authors/{id} deletes the author","1838","Verify that an existing author can be deleted successfully","Bookstore API Test Suite","Sun Oct 26 17:45:43 UTC 2025","passed","Sun Oct 26 17:45:45 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_ValidId_Success"
"Test to verify PUT /api/v1/Books/{id} when path ID doesn't match body ID should return 400","596","Verify updating book with mismatched ID","Bookstore API Test Suite","Sun Oct 26 17:45:36 UTC 2025","failed","Sun Oct 26 17:45:37 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_MismatchedId"
"Test boundary condition with very large page count","627","Verify creating book with very large page count","Bookstore API Test Suite","Sun Oct 26 17:45:34 UTC 2025","passed","Sun Oct 26 17:45:35 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_VeryLargePageCount"
"Test to verify POST /api/v1/Books with null publishDate should return 400","610","Verify creating book with null publishDate","Bookstore API Test Suite","Sun Oct 26 17:45:31 UTC 2025","passed","Sun Oct 26 17:45:32 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullPublishDate"
"Test to verify POST /api/v1/Books with negative page count should return 400","950","Verify creating book with negative page count","Bookstore API Test Suite","Sun Oct 26 17:45:32 UTC 2025","failed","Sun Oct 26 17:45:32 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NegativePageCount"
"Test to verify GET /api/v1/Authors/{id} with negative ID returns 404","620","Verify handling of invalid author ID (negative)","Bookstore API Test Suite","Sun Oct 26 17:45:46 UTC 2025","passed","Sun Oct 26 17:45:46 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_NegativeId"
"Test to verify POST /api/v1/Books with duplicate ID should return 409 or 400","1213","Verify creating book with duplicate ID","Bookstore API Test Suite","Sun Oct 26 17:45:33 UTC 2025","failed","Sun Oct 26 17:45:34 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_DuplicateId"
"Test to verify POST /api/v1/Books with zero page count","613","Verify creating book with zero page count","Bookstore API Test Suite","Sun Oct 26 17:45:32 UTC 2025","passed","Sun Oct 26 17:45:33 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_ZeroPageCount"
"Test to verify DELETE /api/v1/Books/{id} deletes the book","2082","Verify that an existing book can be deleted successfully","Bookstore API Test Suite","Sun Oct 26 17:45:23 UTC 2025","passed","Sun Oct 26 17:45:25 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_ValidId_Success"
"Test to verify GET /api/v1/Authors returns list of authors with 200 status code","866","Verify that all authors can be retrieved successfully","Bookstore API Test Suite","Sun Oct 26 17:45:40 UTC 2025","passed","Sun Oct 26 17:45:41 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAllAuthors_Success"
