"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Bookstore API","0","Authors Management","1","0","Data Validation","0"
"0","Bookstore API","0","Authors Management","4","0","Get Author By ID","0"
"0","Bookstore API","0","Books Management","4","0","Get Book By ID","0"
"0","Bookstore API","7","Authors Management","5","0","Create Author","0"
"0","Bookstore API","4","Books Management","9","0","Create Book","0"
"0","Bookstore API","2","Books Management","1","0","Delete Book","0"
"0","Bookstore API","2","Authors Management","1","0","Delete Author","0"
"0","Bookstore API","0","Books Management","1","0","Data Validation","0"
"0","Bookstore API","2","Books Management","1","0","Update Book","0"
"0","Bookstore API","0","Authors Management","1","0","Performance Test","0"
"0","Bookstore API","0","Books Management","1","0","Performance Test","0"
"0","Bookstore API","2","Authors Management","1","0","Update Author","0"
"0","Bookstore API","0","Authors Management","1","0","Get All Authors","0"
"0","Bookstore API","0","Books Management","1","0","Get All Books","0"
